,sokak,yil,rayic
0,AĞAÇ KÖPRÜ SOKAĞI,2020,5547.47
1,AĞAÇLAR ALTI ÇIKMAZI,2020,470.58
2,ALİ RIZA BEY SOKAĞI,2020,470.58
3,ALT BARUTHANE CADDESİ,2020,3348.9
4,ALTI ÇINAR SOKAĞI,2020,2197.32
5,BALKAN SOKAĞI,2020,470.58
6,BARUTÇU ONBAŞI ÇIKMAZI,2020,2197.32
7,BİRLİK SOKAĞI,2020,2197.32
8,BOSTAN ARALIĞI,2020,5547.47
9,BÖREKÇİ BAYRAM SOKAĞI,2020,2616.87
10,BÜYÜK ALTAYBAŞI SOKAĞI,2020,470.58
11,BÜYÜK SİNAN PAŞA SOKAĞI,2020,2197.32
12,BÜYÜK SOKAĞI,2020,470.58
13,CEYLAN ARALIĞI,2020,470.58
14,CEYLAN SOKAĞI,2020,470.58
15,ÇAKMAK SOKAĞI,2020,470.58
16,ÇAMLI YAYLAK SOKAĞI,2020,470.58
17,ÇİFTÇİLER ARALIĞI,2020,470.58
18,ÇİFTÇİLER SOKAĞI,2020,470.58
19,DERE BOSTANI SOKAĞI,2020,5547.47
20,FATİH SULTAN MİNBERİ CADDESİ,2020,1422.97
21,GÜL SOKAĞI,2020,470.58
22,HACI SÜLEYMAN SOKAĞI,2020,2197.32
23,HİLAL SOKAĞI,2020,470.58
24,İTİMAT SOKAĞI,2020,470.58
25,KALAFATÇI YUSUF SOKAĞI,2020,2197.32
26,KAPTAN-I DERYA SOKAĞI,2020,5547.47
27,KAPTANPAŞA SOKAĞI,2020,2197.32
28,KASIMPAŞA ZİNCİRLİKUYU CADDESİ,2020,4395.9
29,KASIMPAŞA ZİNCİRLİKUYU CADDESİ,2020,878.93
30,KAYABAŞI SOKAĞI,2020,2197.32
31,KULAKSIZ CADDESİ,2020,3348.9
32,KULAKSIZ HAMAMI SOKAĞI,2020,2197.32
33,KULAKSIZ KÜLLHANI ÇIKMAZI,2020,2197.32
34,KURT SOKAĞI,2020,470.58
35,KÜÇÜK ALTAYBAŞI SOKAĞI,2020,470.58
36,KÜÇÜK PİYALE CAMİ SOKAĞI,2020,2197.32
37,MAŞA SOKAĞI,2020,2197.32
38,MEZARLIK ARKASI SOKAĞI,2020,470.58
39,MOR SÜMBÜL SOKAĞI,2020,2197.32
40,MÜRÜVVET SOKAĞI,2020,2197.32
41,NAKKAŞ PENAHİ SOKAĞI,2020,2197.32
42,NALINCI BAYIRI SOKAĞI,2020,4395.9
43,NİL SOKAĞI,2020,470.58
44,PAŞA CAMİ SOKAĞI,2020,470.58
45,PİYALE DEĞİRMEN SOKAĞI,2020,2616.87
46,PİYALE HAVUZU SOKAĞI,2020,2197.32
47,PİYALE MEKTEBİ SOKAĞI,2020,2616.87
48,PİYALE MUMHANESİ SOKAĞI,2020,2616.87
49,PİYALEPAŞA BULVARI,2020,6489.9
50,PORSUK AĞACI SOKAĞI,2020,2197.32
51,REİS SOKAĞI,2020,2197.32
52,RESNE SOKAĞI,2020,2197.32
53,SARI PAPATYA SOKAĞI,2020,470.58
54,SEHER SOKAĞI,2020,470.58
55,SEL ÇIKMAZI,2020,2197.32
56,SEL SOKAĞI,2020,2197.32
57,SELGEÇTİ SOKAĞI,2020,2197.32
58,SERDENGEÇTİ SOKAĞI,2020,2197.32
59,SEZER SOKAĞI,2020,470.58
60,SİNAN PAŞA YUMAK SOKAĞI,2020,2197.32
61,SOBACI SOKAĞI,2020,2197.32
62,SÜMER SOKAĞI,2020,2197.32
63,ŞELALE SOKAĞI,2020,470.58
64,TABAN SOKAĞI,2020,2197.32
65,TÜRBE SOKAĞI,2020,2197.32
66,UZUNCA SOKAĞI,2020,470.58
67,ÜST BARUTHANE CADDESİ,2020,878.93
68,YAY ÇIKMAZI,2020,470.58
69,YAY GEÇİDİ SOKAĞI,2020,470.58
70,YAY SOKAĞI,2020,2616.87
71,YAY SOKAĞI,2020,522.87
72,YAYA GEÇİDİ ÇIKMAZI,2020,470.58
73,YUMAK SOKAĞI,2020,2197.32
74,ZİNCİRLİKUYU ÇIKMAZI,2020,470.58
75,AĞAÇ KÖPRÜ SOKAĞI,2019,4984.7
76,AĞAÇLAR ALTI ÇIKMAZI,2019,422.84
77,ALİ RIZA BEY SOKAĞI,2019,422.84
78,ALT BARUTHANE CADDESİ,2019,3009.16
79,ALTI ÇINAR SOKAĞI,2019,1974.41
80,BALKAN SOKAĞI,2019,422.84
81,BARUTÇU ONBAŞI ÇIKMAZI,2019,1974.41
82,BİRLİK SOKAĞI,2019,1974.41
83,BOSTAN ARALIĞI,2019,4984.7
84,BÖREKÇİ BAYRAM SOKAĞI,2019,2351.4
85,BÜYÜK ALTAYBAŞI SOKAĞI,2019,422.84
86,BÜYÜK SİNAN PAŞA SOKAĞI,2019,1974.41
87,BÜYÜK SOKAĞI,2019,422.84
88,CEYLAN ARALIĞI,2019,422.84
89,CEYLAN SOKAĞI,2019,422.84
90,ÇAKMAK SOKAĞI,2019,422.84
91,ÇAMLI YAYLAK SOKAĞI,2019,422.84
92,ÇİFTÇİLER ARALIĞI,2019,422.84
93,ÇİFTÇİLER SOKAĞI,2019,422.84
94,DERE BOSTANI SOKAĞI,2019,4984.7
95,FATİH SULTAN MİNBERİ CADDESİ,2019,1278.61
96,GÜL SOKAĞI,2019,422.84
97,HACI SÜLEYMAN SOKAĞI,2019,1974.41
98,HİLAL SOKAĞI,2019,422.84
99,İTİMAT SOKAĞI,2019,422.84
100,KALAFATÇI YUSUF SOKAĞI,2019,1974.41
101,KAPTAN-I DERYA SOKAĞI,2019,4984.7
102,KAPTANPAŞA SOKAĞI,2019,1974.41
